id,word,list_definition,verbose_definition
1,abate,become less in amount or intensity,Something that abates becomes fewer or less intense. Your enthusiasm for skiing might abate after falling off a ski lift and getting a mouthful of snow.
2,chicanery,the use of tricks to deceive someone,Have you ever gotten the sense that politicians or corporate leaders will say anything to turn public opinion their way? This tricky kind of deceit and manipulation is called chicanery.
3,disseminate,cause to become widely known,"Disseminate means to spread information, knowledge, opinions widely. Semin- derives from the Latin word for seed; the idea with disseminate is that information travels like seeds sown by a farmer."
4,gainsay,take exception to,"Gainsay, a verb, means ""contradict"" or ""speak out against."" When you challenge authority, you gainsay, as in teachers don't like it when unruly students gainsay them."
5,latent,potentially existing but not presently evident or realized,"Latent is an adjective that you use to describe something that is capable of becoming active or at hand, though it is not currently so."
6,aberrant,markedly different from an accepted norm,Use the adjective aberrant to describe unusual conduct. Sitting in a bathtub and singing show tunes all day long might be considered aberrant behavior.
7,coagulate,change from a liquid to a thickened or solid state,"When liquid starts to thicken and become solid, it coagulates. When you get a cut, the blood flowing from the wound will coagulate: it will start to clot and form a solid scab so you will stop bleeding."
8,dissolution,separation into component parts,The dissolution of a relationship means that it's broken up or ended. The dissolution of your band means you better get started on your solo album.
9,garrulous,full of trivial conversation,"A garrulous person just won’t stop talking (and talking, and talking, and talking...)."
10,laud,"praise, glorify, or honor",To laud someone means to praise them extravagantly — usually in a very public manner. A music critic might laud a new song by calling it the best summer anthem ever created.
11,abeyance,temporary cessation or suspension,"An abeyance is a temporary halt to something, with the emphasis on ""temporary."" It is usually used with the word ""in"" or ""into""; ""in abeyance"" suggests a state of waiting or holding."
12,coda,the closing section of a musical composition,"A coda is a concluding segment of a piece of music, a dance, or a statement. It's usually short and adds a final embellishment beyond a natural ending point. Like this."
13,dissonance,disagreeable sounds,Disagreeable sounds can be called dissonance. You know it's dissonance if you have the strong desire to cover your ears with your hands.
14,goad,stab or urge on as if with a pointed stick,"A goad is a pointy stick or other instrument used to prod something along. To goad is to poke something with that pointy stick. Either way, the pointiness is really essential for making things leap into action."
15,lethargic,deficient in alertness or activity,"When you feel lethargic, you're sluggish or lacking energy. Being sleepy or hungry can make anyone lethargic."
16,abscond,"run away, often taking something or somebody along","Abscond is to escape, often taking something along. As a kid, you may have absconded from your lemonade stand — with the coffee can of cash in hand, and your bewildered sister still filling cups for your customers."
17,cogent,powerfully persuasive,"When you make a cogent argument, it means your argument is clear and persuasive. In these days of 24-hour entertainment news and sound-bite sized explanations of complex government policy, it’s hard to find a cogent argument amidst all the emotional outbursts."
18,distend,cause to expand as if by internal pressure,"A soda and pizza binge might make your stomach distend, meaning your stomach will swell as a result of pressure from the inside."
19,gouge,"an impression in a surface, as made by a blow","To gouge can mean to make a hole or dent in something, or to swindle or steal by overcharging. If your local gas station raises prices because a storm is coming, you may say that the station owner is gouging you — and that's illegal."
20,levee,an embankment built to prevent a river from overflowing,"A levee is an embankment, like a dam, constructed to prevent the overflow of a body of water. It can also mean a formal reception. How do these two words relate? Read on..."
21,abstemious,marked by temperance in indulgence,"Reserve abstemious for someone who exercises restraint, especially with regard to alcohol. A rock musician may sing about enjoying wine and women, but in his private life he may be abstemious."
22,commensurate,corresponding in size or degree or extent,"The word commensurate has to do with things that are similar in size and therefore appropriate. Many people think the death penalty is a commensurate punishment for murder. In other words, the penalty fits the crime."
23,distill,undergo condensation,"When you distill something, you are boiling it down to its essence — its most important part. Whether it's alcohol or ideas, the distilled part is the most powerful."
24,grandiloquent,lofty in style,"Grandiloquent is a fancy term for, well, being fancy or pretentious. In fact, you might say grandiloquent is itself a pretty grandiloquent word."
25,levity,a manner lacking seriousness,"Joking that your dead grandmother ""never looked better"" could inject some levity, or frivolity, into her funeral, but your relatives might find your joke inappropriate to the occasion."
26,admonish,scold or reprimand; take to task,"To admonish is to scold. If you want to show someone you're not happy with his behavior, admonish him."
